AdmArea;District;Address
Юго-Западный административный округ;Гагаринский район;город Москва, улица Дмитрия Ульянова, дом 5
Юго-Западный административный округ;Гагаринский район;город Москва, улица Дмитрия Ульянова, дом 5
Центральный административный округ;район Замоскворечье;город Москва, Валовая улица, дом 21, корпус 125
Юго-Западный административный округ;район Северное Бутово;город Москва, Старокачаловская улица, дом 6
Юго-Западный административный округ;район Северное Бутово;город Москва, бульвар Дмитрия Донского, дом 16
Центральный административный округ;район Замоскворечье;город Москва, Кожевническая улица, дом 8, строение 2
Западный административный округ;район Тропарёво-Никулино;город Москва, улица 26-ти Бакинских Комиссаров, дом 3, корпус 3
Западный административный округ;район Тропарёво-Никулино;город Москва, проспект Вернадского, дом 82, строение 2
Центральный административный округ;район Хамовники;город Москва, Курсовой переулок, дом 8/2
Западный административный округ;район Очаково-Матвеевское;город Москва, Веерная улица, дом 30, корпус 2
Западный административный округ;район Тропарёво-Никулино;город Москва, улица Академика Анохина, дом 9
Западный административный округ;район Тропарёво-Никулино;город Москва, улица Академика Анохина, дом 13
Западный административный округ;район Тропарёво-Никулино;город Москва, улица Покрышкина, дом 9
Западный административный округ;район Раменки;город Москва, Мичуринский проспект, дом 21, корпус 2
Западный административный округ;район Тропарёво-Никулино;город Москва, улица Академика Анохина, дом 4, корпус 1
Западный административный округ;район Очаково-Матвеевское;город Москва, Нежинская улица, дом 9, корпус 1
Западный административный округ;район Очаково-Матвеевское;город Москва, Нежинская улица, дом 9, корпус 1
Западный административный округ;район Тропарёво-Никулино;город Москва, проспект Вернадского, дом 92
Западный административный округ;район Раменки;город Москва, Минская улица, дом 1Г, корпус 1
Западный административный округ;район Тропарёво-Никулино;город Москва, улица Академика Анохина, дом 58
Западный административный округ;район Тропарёво-Никулино;город Москва, улица Академика Анохина, дом 60
Западный административный округ;район Тропарёво-Никулино;город Москва, улица Академика Анохина, дом 2, корпус 6
Западный административный округ;район Дорогомилово;город Москва, Кутузовский проспект, дом 22
Западный административный округ;район Дорогомилово;город Москва, Кутузовский проспект, дом 33
Западный административный округ;район Дорогомилово;город Москва, Кутузовский проспект, дом 24
Западный административный округ;район Дорогомилово;город Москва, Бережковская набережная, дом 12
Западный административный округ;район Крылатское;город Москва, улица Крылатские Холмы, дом 7, корпус 2
Западный административный округ;район Крылатское;город Москва, улица Крылатские Холмы, дом 7, корпус 2
Западный административный округ;район Дорогомилово;город Москва, Киевская улица, дом 18
Центральный административный округ;район Арбат;город Москва, Кривоарбатский переулок, дом 16/22
Западный административный округ;район Крылатское;город Москва, Рублёвское шоссе, дом 48/1
Западный административный округ;район Крылатское;город Москва, Рублёвское шоссе, дом 48/1
Северо-Западный административный округ;район Митино;город Москва, Митинская улица, дом 25
Северо-Западный административный округ;район Митино;город Москва, Митинская улица, дом 25
Северо-Западный административный округ;район Митино;город Москва, Пятницкое шоссе, дом 31, корпус 2
Северо-Западный административный округ;район Митино;город Москва, Митинская улица, дом 25, корпус 3
Северо-Западный административный округ;район Митино;город Москва, Ангелов переулок, дом 2, корпус 1
Северо-Западный административный округ;район Щукино;город Москва, улица Академика Бочвара, дом 2, корпус 2
Северо-Западный административный округ;район Строгино;город Москва, Строгинский бульвар, дом 7, корпус 1
Северо-Западный административный округ;район Митино;город Москва, улица Генерала Белобородова, дом 11
Северо-Западный административный округ;район Митино;город Москва, улица Генерала Белобородова, дом 11
Северо-Западный административный округ;район Митино;город Москва, улица Генерала Белобородова, дом 11
Северо-Западный административный округ;район Митино;город Москва, Уваровский переулок, дом 10
Северо-Западный административный округ;район Митино;город Москва, Митинская улица, дом 53
Северо-Западный административный округ;район Митино;город Москва, Митинская улица, дом 53
Северо-Западный административный округ;район Митино;город Москва, Митинская улица, дом 53
Северо-Западный административный округ;район Хорошёво-Мнёвники;город Москва, проспект Маршала Жукова, дом 48, корпус 1
Северо-Западный административный округ;район Хорошёво-Мнёвники;город Москва, 1-я линия Хорошёвского Серебряного Бора, домовладение 10, строение 1
Северо-Западный административный округ;район Куркино;город Москва, Воротынская улица, дом 16
Северо-Западный административный округ;район Щукино;город Москва, Авиационная улица, дом 79
Центральный административный округ;Тверской район;город Москва, Долгоруковская улица, дом 40
Северный административный округ;район Сокол;город Москва, Ленинградский проспект, дом 69, строение 1
Северный административный округ;район Сокол;город Москва, Ленинградский проспект, дом 69, строение 1
Северный административный округ;район Сокол;город Москва, Ленинградский проспект, дом 69, строение 1
Центральный административный округ;Тверской район;город Москва, Селезнёвская улица, дом 4
Центральный административный округ;Тверской район;город Москва, Селезнёвская улица, дом 4
Центральный административный округ;Тверской район;город Москва, Селезнёвская улица, дом 4
Северный административный округ;район Ховрино;город Москва, улица Лавочкина, дом 34
Северный административный округ;район Ховрино;город Москва, улица Лавочкина, дом 34
Северный административный округ;Бескудниковский район;город Москва, Коровинское шоссе, дом 2А
Северный административный округ;район Западное Дегунино;город Москва, Ангарская улица, дом 22, корпус 1
Северный административный округ;Тимирязевский район;город Москва, улица Костякова, дом 10
Северный административный округ;район Восточное Дегунино;город Москва, Дубнинская улица, дом 26, корпус 1
Северный административный округ;район Восточное Дегунино;город Москва, Дубнинская улица, дом 15, корпус 1
Северный административный округ;Бескудниковский район;город Москва, Бескудниковский бульвар, дом 6, корпус 3
Северный административный округ;район Коптево;город Москва, Михалковская улица, дом 1/51
Восточный административный округ;район Измайлово;город Москва, Первомайская улица, дом 33
Зеленоградский административный округ;район Крюково;город Москва, город Зеленоград, корпус 1805
Зеленоградский административный округ;район Савёлки;город Москва, город Зеленоград, Никольский проезд, дом 5
Южный административный округ;район Орехово-Борисово Южное;город Москва, Каширское шоссе, дом 122
Южный административный округ;район Орехово-Борисово Северное;город Москва, Шипиловский проезд, дом 39, корпус 1
Южный административный округ;район Орехово-Борисово Южное;город Москва, Елецкая улица, дом 13
Южный административный округ;Донской район;город Москва, Варшавское шоссе, дом 9
Южный административный округ;Донской район;город Москва, Варшавское шоссе, дом 9
Южный административный округ;район Чертаново Северное;город Москва, Чертановская улица, дом 1В, корпус 1
Южный административный округ;район Чертаново Северное;город Москва, Чертановская улица, дом 1В, корпус 1
Южный административный округ;район Нагатинский Затон;город Москва, улица Речников, дом 32
Южный административный округ;район Чертаново Южное;город Москва, Варшавское шоссе, дом 152, корпус 2
Восточный административный округ;район Новокосино;город Москва, Новокосинская улица, дом 8, корпус 2
Восточный административный округ;район Новокосино;город Москва, Новокосинская улица, дом 11, корпус 2
Восточный административный округ;район Новокосино;город Москва, Новокосинская улица, дом 11, корпус 2
Восточный административный округ;район Новокосино;город Москва, Новокосинская улица, дом 11, корпус 2
Восточный административный округ;район Новокосино;город Москва, Новокосинская улица, дом 11, корпус 2
Центральный административный округ;район Якиманка;город Москва, Большой Толмачёвский переулок, дом 4, строение 1
Центральный административный округ;район Якиманка;город Москва, Большой Толмачёвский переулок, дом 4, строение 1
Центральный административный округ;район Хамовники;город Москва, улица Остоженка, дом 25
Центральный административный округ;район Якиманка;город Москва, улица Серафимовича, дом 2
Центральный административный округ;район Якиманка;город Москва, улица Серафимовича, дом 2
Центральный административный округ;район Хамовники;город Москва, 1-й Зачатьевский переулок, дом 4
Центральный административный округ;Красносельский район;город Москва, Краснопрудная улица, дом 13
Центральный административный округ;Красносельский район;город Москва, Луков переулок, дом 10
Центральный административный округ;Басманный район;город Москва, Бакунинская улица, дом 23-41
Центральный административный округ;Басманный район;город Москва, Бакунинская улица, дом 23-41
Центральный административный округ;Басманный район;город Москва, Рубцовская набережная, дом 2, корпус 1
Центральный административный округ;Пресненский район;город Москва, Глубокий переулок, дом 1/2
Центральный административный округ;Пресненский район;город Москва, Глубокий переулок, дом 1/2
Центральный административный округ;Пресненский район;город Москва, Краснопресненская набережная, дом 2/1
Центральный административный округ;Таганский район;город Москва, Марксистская улица, дом 7
Центральный административный округ;Тверской район;город Москва, Долгоруковская улица, дом 6
Центральный административный округ;Тверской район;город Москва, Долгоруковская улица, дом 6
Центральный административный округ;район Якиманка;город Москва, Конный переулок, дом 4
Центральный административный округ;район Якиманка;город Москва, Старомонетный переулок, дом 18
Центральный административный округ;Пресненский район;город Москва, Большая Грузинская улица, дом 37, строение 2
Центральный административный округ;Пресненский район;город Москва, Большая Грузинская улица, дом 37, строение 2
Центральный административный округ;Пресненский район;город Москва, Большая Грузинская улица, дом 37, строение 2
Центральный административный округ;Пресненский район;город Москва, улица Красная Пресня, дом 21
Центральный административный округ;район Хамовники;город Москва, улица Остоженка, дом 27, корпус 1
Центральный административный округ;район Хамовники;город Москва, улица Остоженка, дом 27, корпус 2
Центральный административный округ;Тверской район;город Москва, 1-й Тверской-Ямской переулок, дом 11
Центральный административный округ;Тверской район;город Москва, 2-й Щемиловский переулок, дом 4
Северо-Восточный административный округ;район Южное Медведково;город Москва, проезд Шокальского, дом 11
Северо-Восточный административный округ;район Северное Медведково;город Москва, улица Грекова, дом 11
Северо-Восточный административный округ;Алексеевский район;город Москва, Маломосковская улица, дом 21, корпус 1
Северо-Восточный административный округ;район Северный;город Москва, Дмитровское шоссе, дом 165Е, корпус 9
Северо-Восточный административный округ;район Северное Медведково;город Москва, улица Молодцова, дом 2Б
Северо-Восточный административный округ;район Марфино;город Москва, Большая Марфинская улица, дом 4, корпус 2
Северо-Восточный административный округ;район Марфино;город Москва, Большая Марфинская улица, дом 4, корпус 3
Северо-Восточный административный округ;район Марфино;город Москва, Большая Марфинская улица, дом 4, корпус 1
Северо-Восточный административный округ;район Марфино;город Москва, улица Кашёнкин Луг, дом 8, корпус 3
Северо-Восточный административный округ;район Северное Медведково;город Москва, Заревый проезд, дом 1, корпус 1
Восточный административный округ;район Косино-Ухтомский;город Москва, улица Руднёвка, дом 14
Восточный административный округ;район Косино-Ухтомский;город Москва, Святоозерская улица, дом 18
Восточный административный округ;район Сокольники;город Москва, 2-й Полевой переулок, дом 2
Восточный административный округ;район Косино-Ухтомский;город Москва, улица Дмитриевского, дом 23
Восточный административный округ;район Северное Измайлово;город Москва, Щёлковское шоссе, дом 18, корпус 1
Восточный административный округ;район Косино-Ухтомский;город Москва, Лухмановская улица, дом 17
Восточный административный округ;район Косино-Ухтомский;город Москва, Лухмановская улица, дом 30
Восточный административный округ;район Сокольники;город Москва, Русаковская улица, дом 31
Восточный административный округ;район Преображенское;город Москва, Суворовская улица, дом 12
Восточный административный округ;район Перово;город Москва, Перовская улица, дом 16
Восточный административный округ;район Ивановское;город Москва, шоссе Энтузиастов, дом 53
Восточный административный округ;район Новогиреево;город Москва, Зелёный проспект, дом 22
Восточный административный округ;район Новогиреево;город Москва, улица Металлургов, дом 62, корпус 1
Восточный административный округ;район Сокольники;город Москва, Сокольническая площадь, дом 9
Восточный административный округ;район Сокольники;город Москва, Сокольническая площадь, дом 9
Восточный административный округ;район Сокольники;город Москва, Сокольническая площадь, дом 9
Восточный административный округ;район Сокольники;город Москва, Сокольническая площадь, дом 9
Восточный административный округ;район Богородское;город Москва, Погонный проезд, дом 3А
Зеленоградский административный округ;район Крюково;город Москва, Первомайская улица, дом 42
Зеленоградский административный округ;район Крюково;город Москва, Первомайская улица, дом 42
Зеленоградский административный округ;район Крюково;город Москва, Первомайская улица, дом 42
Восточный административный округ;район Новогиреево;город Москва, Перовская улица, дом 66, корпус 4
Юго-Восточный административный округ;Рязанский район;город Москва, улица Васильцовский Стан, дом 5, корпус 1
Юго-Восточный административный округ;Южнопортовый район;город Москва, 1-я улица Машиностроения, дом 10
Юго-Восточный административный округ;район Выхино-Жулебино;город Москва, улица Хлобыстова, дом 14, корпус 1
Юго-Восточный административный округ;район Некрасовка;город Москва, проспект Защитников Москвы, дом 14
Юго-Восточный административный округ;район Кузьминки;город Москва, Волгоградский проспект, дом 84, корпус 1
Юго-Западный административный округ;Обручевский район;город Москва, улица Островитянова, дом 5
Юго-Западный административный округ;Обручевский район;город Москва, Профсоюзная улица, дом 58, корпус 4
Юго-Западный административный округ;Обручевский район;город Москва, улица Воронцовские Пруды, дом 3
Юго-Западный административный округ;Академический район;город Москва, Новочерёмушкинская улица, дом 34, корпус 1, строение 2
Юго-Западный административный округ;район Коньково;город Москва, Профсоюзная улица, дом 96
Юго-Западный административный округ;Ломоносовский район;город Москва, улица Гарибальди, дом 3А
Юго-Западный административный округ;район Коньково;город Москва, Профсоюзная улица, дом 104
Юго-Западный административный округ;район Коньково;город Москва, Профсоюзная улица, дом 104
Юго-Западный административный округ;район Коньково;город Москва, Профсоюзная улица, дом 104
Юго-Западный административный округ;район Коньково;город Москва, Профсоюзная улица, дом 104
Юго-Западный административный округ;район Коньково;город Москва, Профсоюзная улица, дом 104
Юго-Западный административный округ;район Коньково;город Москва, Профсоюзная улица, дом 104
Юго-Западный административный округ;Ломоносовский район;город Москва, улица Академика Пилюгина, дом 4
Юго-Западный административный округ;Ломоносовский район;город Москва, улица Академика Пилюгина, дом 4
Юго-Западный административный округ;Ломоносовский район;город Москва, улица Академика Пилюгина, дом 6
Юго-Западный административный округ;Ломоносовский район;город Москва, улица Гарибальди, дом 7
Юго-Западный административный округ;Обручевский район;город Москва, Ленинский проспект, дом 111, корпус 1
Юго-Западный административный округ;район Черёмушки;город Москва, Профсоюзная улица, дом 25, корпус 1
Юго-Западный административный округ;Ломоносовский район;город Москва, улица Гарибальди, дом 6, корпус 1
Юго-Западный административный округ;район Зюзино;город Москва, Малая Юшуньская улица, дом 3
Юго-Западный административный округ;Обручевский район;город Москва, улица Академика Волгина, дом 8А
Юго-Западный административный округ;Обручевский район;город Москва, улица Академика Волгина, дом 8А
Юго-Западный административный округ;Обручевский район;город Москва, улица Академика Волгина, дом 8А
Юго-Западный административный округ;район Тёплый Стан;город Москва, улица Академика Виноградова, дом 1
Юго-Западный административный округ;район Коньково;город Москва, улица Миклухо-Маклая, дом 33
Юго-Западный административный округ;Ломоносовский район;город Москва, улица Вавилова, дом 81, корпус 1
Юго-Западный административный округ;район Ясенево;город Москва, Новоясеневский проспект, дом 9
Юго-Западный административный округ;Обручевский район;город Москва, улица Обручева, дом 5А
Юго-Западный административный округ;район Южное Бутово;город Москва, улица Маршала Савицкого, дом 6, корпус 1
Западный административный округ;район Раменки;город Москва, Мичуринский проспект, дом 5
Западный административный округ;район Раменки;город Москва, Мичуринский проспект, дом 7, корпус 1
Западный административный округ;район Раменки;город Москва, Мичуринский проспект, дом 7, корпус 1
Западный административный округ;район Раменки;город Москва, Мичуринский проспект, дом 7, корпус 1
Западный административный округ;район Раменки;город Москва, Мичуринский проспект, дом 7
Западный административный округ;район Очаково-Матвеевское;город Москва, Веерная улица, дом 4, корпус 2
Западный административный округ;район Раменки;город Москва, Мичуринский проспект, дом 6, корпус 2
Западный административный округ;район Раменки;город Москва, Ломоносовский проспект, дом 29, корпус 1
Западный административный округ;район Раменки;город Москва, Ломоносовский проспект, дом 29, корпус 3
Западный административный округ;район Раменки;город Москва, Ломоносовский проспект, дом 29, корпус 3
Западный административный округ;район Тропарёво-Никулино;город Москва, проспект Вернадского, дом 94, корпус 1
Западный административный округ;район Очаково-Матвеевское;город Москва, Нежинская улица, дом 1, корпус 1
Западный административный округ;район Проспект Вернадского;город Москва, улица Удальцова, дом 15
Западный административный округ;район Раменки;город Москва, Мичуринский проспект, дом 16
Западный административный округ;район Раменки;город Москва, Мичуринский проспект, дом 16
Западный административный округ;район Раменки;город Москва, Мичуринский проспект, дом 16
Западный административный округ;район Тропарёво-Никулино;город Москва, улица Мичуринский Проспект, Олимпийская Деревня, дом 1, корпус 1
Западный административный округ;район Раменки;город Москва, Ломоносовский проспект, дом 25, корпус 1
Западный административный округ;район Раменки;город Москва, Ломоносовский проспект, дом 25, корпус 1
Западный административный округ;район Тропарёво-Никулино;город Москва, улица Покрышкина, домовладение 8, строение 3
Западный административный округ;район Раменки;город Москва, улица Столетова, дом 7
Западный административный округ;район Раменки;город Москва, улица Столетова, дом 17
Западный административный округ;район Раменки;город Москва, улица Столетова, дом 17
Западный административный округ;район Раменки;город Москва, улица Столетова, дом 7, корпус 1
Западный административный округ;район Очаково-Матвеевское;город Москва, Веерная улица, дом 6
Западный административный округ;район Раменки;город Москва, Ломоносовский проспект, дом 25, корпус 5
Западный административный округ;район Раменки;город Москва, Ломоносовский проспект, дом 25, корпус 5
Западный административный округ;район Раменки;город Москва, Мосфильмовская улица, дом 53
Западный административный округ;район Крылатское;город Москва, улица Крылатские Холмы, дом 37
Западный административный округ;Можайский район;город Москва, Сколковское шоссе, дом 32, корпус 1
Западный административный округ;район Кунцево;город Москва, Молодогвардейская улица, дом 15
Западный административный округ;район Кунцево;город Москва, Ярцевская улица, дом 32
Северо-Западный административный округ;район Щукино;город Москва, Авиационная улица, дом 63
Северо-Западный административный округ;район Куркино;город Москва, Новокуркинское шоссе, дом 43
Северо-Западный административный округ;район Куркино;город Москва, улица Соловьиная Роща, дом 9
Северо-Западный административный округ;район Покровское-Стрешнево;город Москва, Иваньковское шоссе, дом 5
Северо-Западный административный округ;район Куркино;город Москва, улица Соловьиная Роща, дом 11
Северо-Западный административный округ;район Куркино;город Москва, улица Соловьиная Роща, дом 11
Северо-Западный административный округ;район Хорошёво-Мнёвники;город Москва, проспект Маршала Жукова, дом 59
Северо-Западный административный округ;район Куркино;город Москва, Соколово-Мещерская улица, домовладение 27
Северо-Западный административный округ;район Митино;город Москва, Пятницкое шоссе, дом 15
Северо-Западный административный округ;район Куркино;город Москва, Соколово-Мещерская улица, дом 25
Северо-Западный административный округ;район Щукино;город Москва, улица Маршала Соколовского, дом 5
Северо-Западный административный округ;район Куркино;город Москва, Воротынская улица, дом 15
Северо-Западный административный округ;район Куркино;город Москва, Воротынская улица, дом 13/2
Северо-Западный административный округ;район Куркино;город Москва, Соколово-Мещерская улица, дом 16/114
Северо-Западный административный округ;район Куркино;город Москва, Соколово-Мещерская улица, дом 16/114
Северо-Западный административный округ;район Куркино;город Москва, Соколово-Мещерская улица, дом 16/114
Северо-Западный административный округ;район Куркино;город Москва, Родионовская улица, дом 10, корпус 1
Северо-Западный административный округ;район Куркино;город Москва, Родионовская улица, дом 10, корпус 1
Северо-Западный административный округ;район Куркино;город Москва, Родионовская улица, дом 12
Северо-Западный административный округ;район Куркино;город Москва, Родионовская улица, дом 12
Северо-Западный административный округ;район Куркино;город Москва, Родионовская улица, дом 12
Северо-Западный административный округ;район Хорошёво-Мнёвники;город Москва, улица Маршала Тухачевского, дом 41, корпус 1
Северо-Западный административный округ;район Хорошёво-Мнёвники;город Москва, улица Маршала Тухачевского, дом 41, корпус 1
Северо-Западный административный округ;район Митино;город Москва, Митинская улица, дом 10, корпус 1
Северо-Западный административный округ;район Щукино;город Москва, Щукинская улица, дом 2
Северо-Западный административный округ;район Хорошёво-Мнёвники;город Москва, проспект Маршала Жукова, дом 43, корпус 5
Северо-Западный административный округ;район Митино;город Москва, улица Генерала Белобородова, дом 24
Северо-Западный административный округ;район Куркино;город Москва, улица Соловьиная Роща, дом 16
Северный административный округ;район Аэропорт;город Москва, Петровско-Разумовская аллея, дом 10, корпус 3
Северный административный округ;Тимирязевский район;город Москва, Дмитровское шоссе, дом 13А
Северный административный округ;Тимирязевский район;город Москва, Дмитровское шоссе, дом 13А
Северный административный округ;Хорошёвский район;город Москва, улица Гризодубовой, дом 4, корпус 1
Северный административный округ;Хорошёвский район;город Москва, улица Гризодубовой, дом 4, корпус 4
Северный административный округ;Хорошёвский район;город Москва, проезд Берёзовой Рощи, дом 10
Северный административный округ;район Ховрино;город Москва, Фестивальная улица, дом 20, корпус 2
Северный административный округ;Хорошёвский район;город Москва, проезд Берёзовой Рощи, дом 6
Северный административный округ;район Ховрино;город Москва, улица Дыбенко, дом 32, корпус 1
Северный административный округ;Хорошёвский район;город Москва, улица Гризодубовой, дом 2
Северный административный округ;Бескудниковский район;город Москва, Дубнинская улица, дом 53, корпус 1
Северный административный округ;Бескудниковский район;город Москва, Бескудниковский бульвар, дом 19, корпус 2
Юго-Западный административный округ;Обручевский район;город Москва, улица Островитянова, дом 9, корпус 5
Зеленоградский административный округ;район Савёлки;город Москва, город Зеленоград, корпус 533
